,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_distance_ratio_mean,e2e_distance_ratio_std,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_distance_ratio_mean,j2j_distance_ratio_std,nodes_n,nodes_max,nodes_mean,nodes_std,medial_axis_mean,medial_axis_std,voronoi_approx_mean,voronoi_approx_std,std_filter_mean,std_filter_std,entropy_filter_mean,entropy_filter_std
NegsiRNA_C3c_CA,0.7520114050971137,0.15374628702799478,2,2.8284271247461903,0.0,2.8284271247461903,0.0,1.0,0.0,213,21.102104529349862,31.921536036150442,19.537323793506868,28.795945124165172,0.9428807621809352,0.041932649191608565,442,69.75847190701415,55.83804916793764,64.15184161642993,51.039731467680205,0.9288176730689472,0.035265853179862514,1156,6,3.1323529411764706,0.3682348242808504,6.126744654199781,4.889685160848911,6.160088196791604,4.341952101001532,886.7444837329706,567.8571172474062,3.2940591055523094,0.6079750602291419
NegsiRNA_C3b_CA,0.6318482293023003,0.3046158684624566,10,2.0656854249492382,1.2091256885438175,2.047870866461908,1.204724456415268,0.9926209682668591,0.023334547203385438,304,17.585386943148098,14.032747517703635,16.404941487793547,12.484656861354306,0.9450056445785274,0.03601101406843831,762,55.31038771695991,35.62855028594763,51.255140760199865,32.524790507384374,0.9350733937740522,0.03222813746034208,1830,5,3.1213114754098363,0.3331164751902529,9.222267486271,5.114865149519859,9.85256859019826,4.716636472879708,1473.7845841725073,907.6991060750188,3.826592442043104,0.5470504419984871
NegsiRNA_E3_NO,0.61153687371148,0.2978278266059028,0,0.0,0.0,0.0,0.0,0.0,0.0,446,17.60018938330043,13.654793669886418,16.40615043886135,12.191603665207143,0.9397819312463872,0.038748518662283724,838,48.10971205984139,35.49412212312052,44.47589110363956,32.45868735275982,0.9332853110334556,0.03352446436333869,2187,5,3.1399176954732515,0.3585682454451352,9.098693898144534,5.132397929057122,9.999792887933062,4.8440477359116665,1258.1010598489265,806.0367364415683,3.656483941695476,0.5640803847124654
NegsiRNA_L2_NS,0.7099052005343967,0.18898391723632807,4,9.224873734152915,15.898661836485353,8.743312532385264,14.935616758207418,0.9854385953151814,0.029122809369637126,367,18.774518000475194,21.53844313957581,17.32256072678144,18.718475762841297,0.9387275102764274,0.046601916951486,582,52.99106311181514,46.097158874804705,48.45741832851258,41.62690158191201,0.927437250297111,0.04116397854094708,1639,5,3.1537522879804762,0.3723631502954311,7.227586659773316,5.1836943691841935,7.681530973342688,5.221076585113671,1124.5630874775245,724.0118262278919,3.5480058821436478,0.5765895041753779
NegsiRNA_L1_CA,0.6511086357964411,0.28091345893012154,2,15.207106781186548,15.8492424049175,15.009611831257686,15.569942368227911,0.9925231561612652,0.010573853960484724,281,16.269418322924796,13.967268561453027,15.269104881952892,12.881764642814964,0.9459365733642178,0.03029659088633826,797,56.647235632405746,34.425613674162996,52.49458947266704,31.461633334680933,0.9336038535703071,0.03320140207510802,1913,5,3.125457396759017,0.34057408620653834,7.994286095826952,4.782495645043303,8.415527921158093,4.374887352324763,936.9288223293657,523.0950314537589,3.395797047422514,0.5439601919477643
NegsiRNA_H1_CA,0.622810787624783,0.3178588019476997,1,1.0,0.0,1.0,0.0,1.0,0.0,290,19.56522805775157,17.862114960458428,18.120273044038832,15.396741880523429,0.9437420918257192,0.037762920325294214,687,58.94150235228302,42.29767597825098,54.30408638677039,38.232718134510336,0.9326091701603576,0.0328844453736775,1629,5,3.1135666052793125,0.31921306133795024,10.675648246413939,8.226169008277019,11.194595200524823,7.960859601758349,1857.9501443816755,1170.9321426161514,4.053714246987159,0.5358817337988508
NegsiRNA_H3_NO,0.6158489651150174,0.3313238355848525,1,2.0,0.0,2.0,0.0,1.0,0.0,376,19.68101650986966,17.435064564805185,18.24328663108973,14.774420081041345,0.9453406142998138,0.036355170335773485,729,52.99478770045638,37.88870669866349,49.08132953183782,34.58533605921857,0.9349719997186978,0.034082927069017235,1850,5,3.13945945945946,0.3586909077121743,10.472778019768477,5.901240227197197,11.36407968312186,5.113643850365298,2089.66515525484,1365.6167551604476,4.108348598213237,0.5474122451475003
NegsiRNA_A2_CA,0.7419800228542752,0.2609659830729167,2,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,0.0,323,21.199933064669573,20.848368411544033,19.752009719293078,19.1315242165818,0.941987578868348,0.03898398281755692,564,57.59156013601946,45.43626619382819,53.17256904911925,41.556212448588354,0.9327211210746794,0.03339065599409168,1430,5,3.121678321678321,0.3311644765204616,11.464640701974403,12.752163361242742,11.244351711213382,11.447408990719314,1577.5441531083166,1110.4779759340954,3.868795526522717,0.5643877437715272
NegsiRNA_G3_NS,0.6753294203016493,0.2395057678222656,1,1.0,0.0,1.0,0.0,1.0,0.0,261,16.851764239406474,14.987525013775535,15.697006502223664,13.601350463587485,0.9402415755601732,0.04235030327498069,565,64.83460382468773,45.26155177318977,59.46708536077509,40.739601623253584,0.9274933438721764,0.04058847848497025,1432,5,3.1215083798882683,0.34135118253500396,8.210472189289463,4.796998779797057,8.560974464514072,4.3030480498732695,1393.3370807233416,943.2881214443524,3.727768720110397,0.5859094396829571
NegsiRNA_B1_NO,0.5859116448296441,0.33423105875651044,0,0.0,0.0,0.0,0.0,0.0,0.0,337,19.53886588087633,16.28937298931107,18.26085037492959,14.359778346383731,0.9448220700391168,0.04612791326125442,751,54.86826154236296,37.26145129102529,50.69285136237121,33.8799766475906,0.933472361561474,0.03361554922848794,1891,5,3.13590692755156,0.3577885537443969,10.392432493300683,6.126671027268723,11.284370621928884,5.9059860502039685,1493.7107234899381,909.244162080388,3.8428320764673143,0.5320553446805073
NegsiRNA_I1_CA,0.5720570882161459,0.33048121134440106,5,8.19411254969543,13.968824023885677,7.4393709890522395,12.382233203629301,0.9635441059583816,0.05140463542303751,245,23.899431084028038,24.49198734158568,22.065346610793032,21.31445126452112,0.9428204070806196,0.03446270007694055,640,62.22155398950258,39.32602793600577,57.56914284424097,35.89605433542956,0.9325931778150148,0.029063051790056225,1563,5,3.1253998720409464,0.3330980856505949,10.6689973850035,6.621100062450211,11.506835625366286,6.484270323601191,2034.2434908337766,1263.9560256881311,4.1207745510269715,0.5287940048646378
NegsiRNA_F3_NS,0.6344545152452257,0.2816115485297309,3,1.0,0.0,1.0,0.0,1.0,0.0,373,19.478677293795755,14.825179152559919,18.115147310654,13.413166291525528,0.9393152780607912,0.03447578113997152,637,52.98783469327321,39.38622372790536,48.840666950140324,35.77347844353693,0.9324810702459168,0.041023063018872735,1680,5,3.1279761904761907,0.33760811235564925,10.065760057221821,6.397848072532763,11.109187574988043,6.2968294803086815,1471.1155331562095,1026.7999699561856,3.767865773003619,0.6103879220038888
NegsiRNA_C2_NO,0.6080140007866753,0.31142086452907985,6,11.730796051808374,14.42863581313169,10.58251626132732,13.008167414916347,0.9309238545439644,0.09794561807397524,528,18.20598059351792,13.947359142592115,17.01615553649939,12.511499948791187,0.943249023967318,0.041994884216985336,861,45.948124658512036,34.999126142305315,42.24982666558756,31.516998740437554,0.9314757167246991,0.03512172599003955,2286,5,3.1229221347331584,0.3375448384977806,9.595425864636834,5.921921066667129,10.677682673552331,5.629438433352211,1341.846145457598,818.4837681912547,3.753564668870749,0.5228619198194748
NegsiRNA_B1_CA,0.6724906497531467,0.2534425523546007,4,19.34619407771256,14.521293098560612,17.558846015417835,13.536958132305555,0.9235914332720996,0.06600071416504992,275,20.461966417833494,17.782341646960028,19.178309695571414,16.31219997543792,0.9411662943416236,0.04813694063300985,591,58.519538037998345,43.56972300434322,53.84885432886381,39.84424349835686,0.9279405882390659,0.03826572037077887,1499,5,3.1434289526350896,0.3690519154986092,9.479602968542796,6.685522113949553,10.02090901731004,6.534178554629285,1300.0213247255062,870.116993958261,3.675399104563675,0.5731793610726136
NegsiRNA_D1_NS,0.66802978515625,0.2507896423339844,5,6.345584412271572,10.122057761484127,5.605948338092281,8.483317690520645,0.9695794627870044,0.06802238912032006,308,17.82055989476655,18.3457734064805,16.470813616584085,16.335521146647253,0.937112804631173,0.044357160383854205,750,56.26976285772499,41.01544826487183,51.51417197815097,36.682412263916476,0.927773846337678,0.038939469202065286,1910,6,3.13717277486911,0.3515565485068643,7.364458352798237,4.443292888589367,7.8503934218576115,4.3519441747592165,931.4215526749974,612.9637820630288,3.3373647822513397,0.6035010161609531
NegsiRNA_H3_CA,0.6467234293619791,0.3068839179144965,2,1.2071067811865477,0.2928932188134525,1.2071067811865477,0.2928932188134525,1.0,0.0,233,19.59184231216228,17.70702893937179,18.313503644971657,15.504041023077958,0.944597479208138,0.038893346640911465,679,60.85662634204401,38.92587947746829,56.30635795097564,35.50735919668658,0.9337222993768902,0.032441758869372415,1654,5,3.1305925030229744,0.3458092688046339,9.94460336938973,6.404984741324217,10.493215873881429,6.20560541068217,1927.0037677091973,1270.5863804858675,4.04441874940574,0.549262618880042
NegsiRNA_G1_NS,0.6146384345160589,0.33087921142578125,3,20.932996624407775,16.516945832611288,18.80360648603997,14.496088254326875,0.9111808876370082,0.05141789500953239,278,18.204852812557,14.003475199809566,17.02367459386572,12.541796301795358,0.9427516322914308,0.04753193981310426,833,55.47903297995502,34.61430586651365,51.406593697129544,31.689207751647874,0.9344407235378722,0.04103701226373772,1990,5,3.120100502512563,0.328156094046795,9.482156497635103,5.979898166240611,10.09326888031042,5.818340691832651,1216.3170439484152,775.5470359897749,3.64162529449608,0.5550855161496333
NegsiRNA_C2_NS,0.6149455176459419,0.30711407131618923,11,2.0285189544531597,1.0110143787259116,2.0020545965663024,0.9439041962002894,0.994004740026074,0.01988402785414916,428,17.64015366268657,14.828168836198401,16.359090017263163,13.082303456180327,0.9396271952130391,0.03744295528813988,840,49.28771058978157,37.211669668921324,45.2355302857026,33.52456647893933,0.9304611221728664,0.037943977999030314,2176,5,3.140625,0.3567680379524093,9.230999442719027,5.918441076522449,10.09056762174442,5.8005574444920605,1100.213229566129,714.3055349890062,3.540871891416708,0.5595428419214146
NegsiRNA_F2_NS,0.6208078596327039,0.3069928487141927,2,25.642135623730944,32.84924240491749,22.51896854778259,28.68435307075892,0.9010199077935378,0.035623721261423456,402,20.092248722978532,16.90157058968477,18.795275895723066,15.354676593832504,0.9443292383227504,0.03398730221172391,643,53.11917449971025,38.673171017371175,49.00733541356432,35.07437184685105,0.9326722630557804,0.034900817436223336,1699,5,3.128899352560329,0.3437588175672889,10.968948350778973,7.2383006893286375,12.197475427484797,7.12660133747567,1521.4759025888031,1016.034836727486,3.8184300895953287,0.5759954439568442
