,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_distance_median,e2e_distance_mad,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_eu_distance_median,e2e_eu_distance_mad,e2e_distance_ratio_mean,e2e_distance_ratio_std,e2e_distance_ratio_median,e2e_distance_ratio_mad,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_distance_median,j2e_distance_mad,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_eu_distance_median,j2e_eu_distance_mad,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2e_distance_ratio_median,j2e_distance_ratio_mad,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_distance_median,j2j_distance_mad,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_eu_distance_median,j2j_eu_distance_mad,j2j_distance_ratio_mean,j2j_distance_ratio_std,j2j_distance_ratio_median,j2j_distance_ratio_mad,nodes_n,nodes_max,nodes_mean,nodes_std,nodes_median,nodes_mad,branch_thickness_medial_axis_mean,branch_thickness_medial_axis_std,branch_thickness_medial_axis_median,branch_thickness_medial_axis_mad,branch_thickness_voronoi_mean,branch_thickness_voronoi_std,branch_thickness_voronoi_median,branch_thickness_voronoi_mad,texture_std_filter_mean,texture_std_filter_std,texture_std_filter_median,texture_std_filter_mad,texture_entropy_filter_mean,texture_entropy_filter_std,texture_entropy_filter_median,texture_entropy_filter_mad
NegsiRNA_C3c_CA,0.7520114050971137,0.15374628702799478,2,2.8284271247461903,0.0,2.8284271247461903,0.0,2.8284271247461903,0.0,2.8284271247461903,0.0,1.0,0.0,1.0,0.0,213,21.102104529349862,31.921536036150435,10.542472332656539,4.42858559908579,19.537323793506868,28.795945124165165,9.893881386437258,4.15899787507549,0.9428807621809353,0.041932649191608565,0.9433452527020513,0.017135570033461667,442,69.75847190701415,55.83804916793763,56.58469909318007,37.14213562373098,64.15184161642993,51.039731467680205,52.37520312990223,33.71513278380068,0.9288176730689471,0.035265853179862514,0.9299359325826193,0.016957628162766858,1156,6,3.1323529411764706,0.3682348242808504,3.0,0.0,6.126745223999023,4.88968563079834,5.0,1.8377223014831543,6.160088062286377,4.341952323913574,5.0,1.4031243324279785,886.7445068359375,567.8571166992188,729.6459350585938,264.4654541015625,3.2940590381622314,0.6079750657081604,3.2870545387268066,0.4300394058227539
NegsiRNA_C3b_CA,0.6318482293023003,0.3046158684624566,10,2.0656854249492382,1.2091256885438175,2.0,0.7071067811865476,2.0478708664619076,1.204724456415268,2.0,0.7071067811865476,0.992620968266859,0.023334547203385472,1.0,0.0,304,17.585386943148098,14.032747517703635,14.202384569912695,5.020614497651648,16.404941487793543,12.484656861354303,13.70723522527329,4.9004748822802044,0.9450056445785274,0.03601101406843832,0.9458574627440964,0.01817077063182926,762,55.31038771695991,35.62855028594763,50.29924589004138,23.855949555500043,51.255140760199865,32.52479050738437,46.662276570675495,22.047608249371883,0.9350733937740522,0.03222813746034208,0.9329044692929263,0.014933032887663233,1830,5,3.121311475409836,0.3331164751902529,3.0,0.0,9.222267150878906,5.114864826202393,8.062257766723633,3.062257766723633,9.852568626403809,4.716636657714844,8.9442720413208,2.944272041320801,1473.78466796875,907.698974609375,1245.74755859375,451.6763916015625,3.826591968536377,0.547050416469574,3.8413658142089844,0.3873000144958496
NegsiRNA_E3_NO,0.61153687371148,0.2978278266059028,0,,,,,,,,,,,,,446,17.60018938330043,13.65479366988642,15.228995109812933,5.385003547992106,16.406150438861353,12.191603665207142,14.377929183788906,5.114435354969038,0.9397819312463873,0.03874851866228374,0.9418817073833499,0.01706099066141037,838,48.1097120598414,35.49412212312052,40.26671473757396,21.354417990524045,44.475891103639555,32.45868735275982,37.59577381060578,19.354739148388447,0.9332853110334556,0.033524464363338696,0.9315795551858572,0.017482946163646373,2187,5,3.139917695473251,0.3585682454451352,3.0,0.0,9.09869384765625,5.132397651672363,8.062257766723633,3.062257766723633,9.99979305267334,4.844047546386719,8.9442720413208,2.944272041320801,1258.1009521484375,806.0366821289062,1037.078857421875,380.51385498046875,3.656484365463257,0.5640804171562195,3.6544015407562256,0.4015219211578369
AKT1_B2_NO,0.5283071729871962,0.33030403984917533,1,24.38477631085024,,24.38477631085024,0.0,23.021728866442675,,23.021728866442675,0.0,0.9441025241719744,,0.9441025241719744,0.0,297,20.45577338575355,16.75742217104109,16.55634918610405,6.712357624283223,19.05144580512897,14.908437298095,15.590461827668864,6.304869642879483,0.9429231711615956,0.035464878113418356,0.9461506400577826,0.019886285885895694,628,59.68078410322752,42.54310708729923,48.06915599672273,25.45594955550012,54.74185914207473,37.876220758659855,44.644301865400124,22.766945573976834,0.9306829858408145,0.03644837790620452,0.9312019300599725,0.015314769787722504,1585,5,3.1274447949526816,0.34095445121619655,3.0,0.0,10.94830322265625,6.30556058883667,9.486832618713379,3.551571846008301,11.95842170715332,6.077615261077881,10.29563045501709,3.5874266624450684,2130.898681640625,1290.9053955078125,1816.07080078125,694.1064453125,4.154107570648193,0.5230347514152527,4.1912689208984375,0.3722209930419922
NegsiRNA_L2_NS,0.7099052005343967,0.18898391723632812,4,9.224873734152917,15.898661836485356,1.4142135623730951,0.20710678118654757,8.743312532385264,14.93561675820742,1.4142135623730951,0.20710678118654757,0.9854385953151814,0.029122809369637234,1.0,0.0,367,18.774518000475194,21.53844313957581,13.257990219625821,5.585786437626897,17.32256072678144,18.7184757628413,12.40519604395233,5.1940934930243525,0.9387275102764274,0.046601916951485994,0.9407147564986397,0.01615291768824667,582,52.991063111815144,46.09715887480471,38.60163191489174,22.28541923507977,48.45741832851258,41.62690158191201,35.252651743877706,19.52559925281554,0.927437250297111,0.04116397854094708,0.9305796056708876,0.01866687601523237,1639,5,3.153752287980476,0.3723631502954311,3.0,0.0,7.22758674621582,5.183694362640381,5.656854152679443,2.6568541526794434,7.6815314292907715,5.221076488494873,6.0,2.485280990600586,1124.563232421875,724.0117797851562,937.8878173828125,338.279541015625,3.548006296157837,0.5765894055366516,3.554797649383545,0.40730929374694824
ACTB_B2_CA,0.6037392086452908,0.28029632568359375,8,11.673097038856278,16.213742112124464,6.5,2.5,10.770630018402489,13.98442108742796,6.5,2.5,0.9705182120573832,0.047606545247787166,1.0,0.0,361,21.318890585573893,18.294524947899003,17.164213562373096,8.035954792089752,19.79569356461702,16.43896079162456,16.25,7.34157688667716,0.9370830987896713,0.048778005467091,0.9382162845144487,0.015710165010853094,702,52.87874112557678,41.12016574884321,42.19653852657744,22.932247222341132,48.25736985583471,36.644488429528174,38.818725365506815,20.394519319355425,0.9279278342933707,0.04321486439247282,0.9292270505439566,0.018262668602456233,1802,5,3.1298557158712543,0.34430015755727716,3.0,0.0,9.385629653930664,6.708585262298584,7.8102498054504395,3.851653575897217,9.997990608215332,6.821478366851807,8.246211051940918,4.123105525970459,2097.092529296875,1445.999267578125,1676.53759765625,711.0213623046875,4.122257709503174,0.566554605960846,4.147887229919434,0.42389583587646484
JUP_D1_NO,0.6126910315619575,0.2918277316623264,1,21.48528137423857,,21.48528137423857,0.0,19.313207915827967,,19.313207915827967,0.0,0.8989041185648619,,0.8989041185648619,0.0,238,19.69928606890749,22.08518454507485,12.299584053904619,5.731227640754243,18.096065919783452,19.37488413394475,11.491673553200727,5.390438370448534,0.9394762844919152,0.043798592522259025,0.9418609538723115,0.017276763968899322,778,59.09598570564566,39.449708283975156,50.07466547783075,24.459829994460108,54.15987550931557,34.94758473560157,46.159155947345084,22.098257703970834,0.9287701362171756,0.03626682597856673,0.9306865110568505,0.016309025358157925,1888,5,3.139300847457627,0.3493061199335199,3.0,0.0,8.035211563110352,4.471860885620117,7.071067810058594,2.1484766006469727,8.483803749084473,4.284300327301025,7.211102485656738,2.2111024856567383,884.3297119140625,557.839599609375,731.80810546875,266.48614501953125,3.290104389190674,0.5926842093467712,3.279088020324707,0.4261491298675537
NegsiRNA_L1_CA,0.651108635796441,0.28091345893012154,2,15.207106781186548,15.849242404917499,15.207106781186548,11.207106781186548,15.009611831257686,15.569942368227908,15.009611831257686,11.009611831257686,0.9925231561612649,0.010573853960484882,0.9925231561612649,0.007476843838735092,281,16.269418322924796,13.967268561453027,12.528100295943757,4.399841525660291,15.26910488195289,12.88176464281497,11.704699910719626,4.030790288572013,0.9459365733642178,0.030296590886338258,0.9479705999314912,0.01857829031429925,797,56.647235632405746,34.425613674163,51.392579870004845,22.982752018297624,52.49458947266704,31.461633334680936,47.63285514105646,21.499516493097882,0.933603853570307,0.033201402075108015,0.9323720716438502,0.014303113870060224,1913,5,3.125457396759017,0.34057408620653834,3.0,0.0,7.99428653717041,4.782495498657227,7.071067810058594,2.0710678100585938,8.41552734375,4.374887466430664,7.211102485656738,1.844283103942871,936.9290771484375,523.094970703125,800.261474609375,276.0241394042969,3.395796775817871,0.5439602136611938,3.392059564590454,0.39408254623413086
FYN_E3_NS,0.6831853654649522,0.25247277153862846,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,20.92916432056108,25.388033808204103,14.187237178171289,5.5782637103449755,19.249337087263548,22.750889416288647,13.609438752006927,5.2895459012206665,0.9403347024088488,0.03975775533374664,0.9456832671877722,0.017475737957239112,537,66.86969363375388,43.92238764381037,62.93040890619282,32.217607035635695,61.597245659750094,39.96295475179436,57.21232384722718,29.32925254495811,0.9296900504161894,0.03461514073247569,0.9291780570153817,0.015900011975529482,1343,5,3.1332836932241253,0.3442347409794032,3.0,0.0,8.543061256408691,5.0196428298950195,7.211102485656738,2.7888975143432617,9.138534545898438,4.939976215362549,7.8102498054504395,2.8102498054504395,1299.7261962890625,880.1951293945312,1049.905029296875,407.96820068359375,3.66304612159729,0.5957862734794617,3.660656690597534,0.42560696601867676
ACTN4_L1_NO,0.5726282331678603,0.31916385226779515,0,,,,,,,,,,,,,482,16.82286321787229,13.96852662031765,12.95974388279337,5.249826705475646,15.626653343942422,12.541555789186571,12.16106911269157,4.808348527765197,0.938204506563518,0.046840233859128444,0.9418609538723115,0.016371591575335465,958,47.62477931044518,35.67646317185517,39.3678160011433,20.1650229410043,43.51914079895134,31.82275210411176,36.04443583077364,18.029689628416318,0.9280830197855422,0.041848638288812315,0.9302451969079573,0.01809011432379304,2472,5,3.134304207119741,0.34686005032728184,3.0,0.0,8.715787887573242,5.563401222229004,7.071067810058594,2.828427314758301,9.361920356750488,5.309031009674072,7.8102498054504395,2.8102498054504395,929.3561401367188,596.4205322265625,774.9959716796875,291.30792236328125,3.335646867752075,0.6049826741218567,3.3407113552093506,0.43640971183776855
