,cell_area_ratio,white_area_ratio,area_mean,area_std,area_median,area_mad,area_entropy,perimeter_mean,perimeter_std,perimeter_median,perimeter_mad,perimeter_entropy,hull_area_mean,hull_area_std,hull_area_median,hull_area_mad,hull_area_entropy,hull_perimeter_mean,hull_perimeter_std,hull_perimeter_median,hull_perimeter_mad,hull_perimeter_entropy,compactness_mean,compactness_std,compactness_median,compactness_mad,compactness_entropy,solidity_mean,solidity_std,solidity_median,solidity_mad,solidity_entropy,convexity_mean,convexity_std,convexity_median,convexity_mad,convexity_entropy,major_axis_length_mean,major_axis_length_std,major_axis_length_median,major_axis_length_mad,major_axis_length_entropy,minor_axis_length_mean,minor_axis_length_std,minor_axis_length_median,minor_axis_length_mad,minor_axis_length_entropy,elongation_mean,elongation_std,elongation_median,elongation_mad,elongation_entropy,fractal_dimension_mean,fractal_dimension_std,fractal_dimension_median,fractal_dimension_mad,fractal_dimension_entropy,entropy_mean,entropy_std,entropy_median,entropy_mad,entropy_entropy,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_distance_median,e2e_distance_mad,e2e_distance_entropy,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_eu_distance_median,e2e_eu_distance_mad,e2e_eu_distance_entropy,e2e_distance_ratio_mean,e2e_distance_ratio_std,e2e_distance_ratio_median,e2e_distance_ratio_mad,e2e_distance_ratio_entropy,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_distance_median,j2e_distance_mad,j2e_distance_entropy,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_eu_distance_median,j2e_eu_distance_mad,j2e_eu_distance_entropy,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2e_distance_ratio_median,j2e_distance_ratio_mad,j2e_distance_ratio_entropy,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_distance_median,j2j_distance_mad,j2j_distance_entropy,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_eu_distance_median,j2j_eu_distance_mad,j2j_eu_distance_entropy,j2j_distance_ratio_mean,j2j_distance_ratio_std,j2j_distance_ratio_median,j2j_distance_ratio_mad,j2j_distance_ratio_entropy,nodes_n,nodes_max,nodes_mean,nodes_std,nodes_median,nodes_mad,nodes_entropy,branch_thickness_medial_axis_mean,branch_thickness_medial_axis_std,branch_thickness_medial_axis_median,branch_thickness_medial_axis_mad,branch_thickness_medial_axis_entropy,branch_thickness_voronoi_mean,branch_thickness_voronoi_std,branch_thickness_voronoi_median,branch_thickness_voronoi_mad,branch_thickness_voronoi_entropy,texture_std_filter_mean,texture_std_filter_std,texture_std_filter_median,texture_std_filter_mad,texture_std_filter_entropy,texture_entropy_filter_mean,texture_entropy_filter_std,texture_entropy_filter_median,texture_entropy_filter_mad,texture_entropy_filter_entropy,global_entropy_discrete,global_entropy_kde,global_coeff_var
NegsiRNA_C3c_CA,0.7520114050971137,0.15374628702799478,16370.862068965518,11315.71459881861,14799.0,6659.0,6.264670219936923,536.9654147241307,234.30615125493878,552.2741661071777,137.01219260692596,6.264670219936923,17946.827586206895,12331.549132164928,16011.0,7106.5,6.264670219936923,482.0006291386725,205.9777935681733,506.0099568367005,125.11947941780085,6.264670219936923,0.62650604228518,0.09298287439293032,0.6151515150938157,0.05334727770528869,6.264670219936923,0.9216095922023282,0.04552713680716305,0.925531914893617,0.02358509179939161,6.21706436418892,0.9096610253172005,0.04030172847053867,0.9142954724904152,0.016587762725213562,6.21706436418892,176.12157674219415,76.9214941275052,185.4193878173828,49.73194885253906,6.264670219936923,114.33010646666604,54.37204160141041,112.67245483398438,27.672454833984375,6.264670219936923,0.685029230876544,0.18885683789027846,0.6601543865421495,0.14002300051246375,6.264670219936923,1.2071146631228067,0.21768007525612043,1.146598304876262,0.012980751657176715,6.264670219936923,2.9730325802355027,0.8813173887448049,3.197769517020844,0.19918002902073217,6.264670219936923,2,2.8284271247461903,0.0,2.8284271247461903,0.0,-0.0,2.8284271247461903,0.0,2.8284271247461903,0.0,-0.0,1.0,0.0,1.0,0.0,-0.0,213,21.102104529349862,31.92153603615044,10.54247233265654,4.428585599085792,7.637268833830703,19.537323793506868,28.79594512416517,9.893881386437258,4.158997875075489,7.646658505192205,0.9428807621809353,0.041932649191608565,0.9433452527020514,0.017135570033461667,7.408962775224643,442,69.75847190701415,55.83804916793764,56.58469909318006,37.14213562373098,8.778852785635777,64.15184161642993,51.0397314676802,52.37520312990223,33.71513278380068,8.77432789875795,0.9288176730689471,0.03526585317986251,0.9299359325826193,0.016957628162766858,8.768095121603732,1156,6,3.1323529411764706,0.3682348242808504,3.0,0.0,0.5840123785458845,6.126745223999023,4.88968563079834,5.0,1.8377223014831543,5.661582402235035,6.160088062286377,4.341952323913574,5.0,1.4031243324279785,5.555337625755442,886.7445068359375,567.8571166992188,729.6459350585938,264.4654541015625,18.452370342950168,3.2940590381622314,0.6079750657081604,3.2870545387268066,0.4300394058227539,13.59236679813918,4.790248980600721,4.802270637729685,0.4751063625593468
NegsiRNA_C3b_CA,0.6318482293023003,0.3046158684624566,8873.058641975309,5159.3494017797775,8288.25,3460.5,7.3104988454638615,396.5349148740003,147.83265615235226,415.1112156510353,73.74011445045471,7.315158644859933,9740.404320987655,5770.1845666612135,9445.0,3959.5,7.3104988454638615,356.56973566685195,127.17648167570154,371.85286128520966,67.64728605747223,7.327504323872278,0.647141016546026,0.10027121942558109,0.6561035652926306,0.06934801451788847,7.327504323872278,0.918963495843473,0.04572263991048318,0.927305278057664,0.02560427827843459,7.2904672868352405,0.9085089433758156,0.03653648644074129,0.9118586371069268,0.022922211024283656,7.2904672868352405,126.26453862514025,45.307195963678346,128.63327026367188,25.03845977783203,7.3104988454638615,89.7859502552468,35.73402787421392,93.60063934326172,22.547077178955078,7.315158644859933,0.7143282783073469,0.16518350753215222,0.7096679244607091,0.12215873337698535,7.315158644859933,1.1583806761075963,0.09635211612267242,1.1482422476215643,0.010953743930451787,7.327504323872278,3.0011245575115075,0.5199623190699195,3.104255028050874,0.18721999216103535,7.327504323872278,10,2.0656854249492382,1.2091256885438175,2.0,0.7071067811865476,2.3709505944546687,2.0478708664619076,1.204724456415268,2.0,0.7071067811865476,2.3709505944546687,0.992620968266859,0.023334547203385434,1.0,0.0,0.4689955935892812,304,17.5853869431481,14.032747517703635,14.202384569912692,5.020614497651648,8.09822430619251,16.404941487793543,12.484656861354301,13.70723522527329,4.9004748822802044,8.102320070988025,0.9450056445785274,0.03601101406843831,0.9458574627440964,0.01817077063182926,8.059492603854295,762,55.31038771695991,35.62855028594763,50.29924589004138,23.855949555500043,9.568397843661302,51.25514076019986,32.52479050738437,46.6622765706755,22.047608249371883,9.56314849982928,0.9350733937740522,0.03222813746034208,0.9329044692929263,0.014933032887663289,9.536901780669174,1830,5,3.121311475409836,0.3331164751902529,3.0,0.0,0.5425748112714437,9.222267150878906,5.114864826202393,8.062257766723633,3.062257766723633,6.718595593391142,9.852568626403809,4.716636657714844,8.9442720413208,2.944272041320801,6.666876170984245,1473.78466796875,907.698974609375,1245.74755859375,451.6763916015625,19.42376286686983,3.826591968536377,0.547050416469574,3.8413658142089844,0.3873000144958496,12.154573688056384,5.144401777376386,5.154479845113511,0.5007478365947897
NegsiRNA_E3_NO,0.61153687371148,0.2978278266059028,10079.75,5690.409639165778,9680.5,3820.0,7.114997302659254,444.3198351723807,157.32167392623634,458.7594473361969,101.3883461356163,7.10071158837354,11216.32142857143,6395.6086449301965,10809.0,4348.0,7.114997302659254,385.9568231761456,128.5063077575466,400.2875591516495,84.11330485343933,7.114997302659254,0.6067177253227795,0.10596387721405609,0.609976852546711,0.07149061226567754,7.114997302659254,0.9064166483936967,0.049568459565505006,0.9197601594343955,0.02561084721058876,7.114997302659253,0.8791371613769738,0.05090484400478358,0.8831503299423393,0.033753459437234956,7.114997302659253,134.4181428534644,45.83837034940935,139.07125854492188,27.800003051757812,7.114997302659254,98.77198320456914,34.760965645905706,99.21215438842773,24.128959655761726,7.114997302659254,0.7519208645569766,0.1477893305107966,0.7639555541261949,0.11427058095390469,7.114997302659253,1.1676948555827713,0.10188348906214117,1.1567416991375299,0.012936503691138745,7.114997302659253,3.089314939905574,0.4651752846424626,3.175256982738115,0.17347754653172154,7.114997302659254,0,,,,,-0.0,,,,,-0.0,,,,,-0.0,446,17.60018938330043,13.65479366988642,15.228995109812931,5.385003547992104,8.568221788909504,16.406150438861353,12.191603665207142,14.377929183788908,5.114435354969039,8.505947265342648,0.9397819312463873,0.03874851866228373,0.9418817073833499,0.017060990661410314,8.479151119906028,838,48.1097120598414,35.49412212312052,40.26671473757395,21.35441799052404,9.708419798854486,44.475891103639555,32.45868735275982,37.59577381060578,19.354739148388447,9.689326720095535,0.9332853110334557,0.03352446436333869,0.9315795551858571,0.01748294616364615,9.689911714123784,2187,5,3.139917695473251,0.3585682454451352,3.0,0.0,0.599744360766745,9.09869384765625,5.132397651672363,8.062257766723633,3.062257766723633,6.712356509973632,9.99979305267334,4.844047546386719,8.9442720413208,2.944272041320801,6.731391952478496,1258.1009521484375,806.0366821289062,1037.078857421875,380.51385498046875,19.392264582591867,3.656484365463257,0.5640804171562195,3.6544015407562256,0.4015219211578369,12.697487596706672,4.918800559194158,4.9298149822923145,0.5077985349848823
AKT1_B2_NO,0.5283071729871962,0.33030403984917533,10917.673913043478,5635.656546554004,10187.0,2803.5,6.8454900509443775,473.30116333443186,146.36128483190754,478.835567355156,87.86500489711756,6.828098746596551,12367.426086956522,6485.994243078182,11737.5,3614.0,6.8454900509443775,413.647775565023,115.03211328235032,412.4885263442993,68.44021606445312,6.8454900509443775,0.5961781697413459,0.1383537476629614,0.5977007221510086,0.08739929558120119,6.8454900509443775,0.8851786835330795,0.1085711160742946,0.9091283202394314,0.03746189069646866,6.8454900509443775,0.884004187347697,0.05329635903956614,0.8929065469448259,0.025676371070513793,6.8454900509443775,146.90262275364088,43.54458460363051,147.10140991210938,29.72168731689453,6.8454900509443775,103.51485304210497,31.657833343831474,101.7509765625,16.091087341308594,6.8454900509443775,0.7197450711377744,0.17431317743145106,0.7275306353146638,0.1281806858102863,6.828098746596551,1.1528196089115976,0.016748642845758433,1.1536757527075625,0.012717447519894565,6.8454900509443775,3.1615647390267276,0.29408108474165084,3.1952486549205275,0.17421498561918325,6.8454900509443775,1,24.38477631085024,,24.38477631085024,0.0,-0.0,23.021728866442675,,23.021728866442675,0.0,-0.0,0.9441025241719744,,0.9441025241719744,0.0,-0.0,297,20.45577338575355,16.75742217104109,16.55634918610405,6.712357624283223,8.113309019790666,19.05144580512897,14.908437298094999,15.590461827668864,6.304869642879481,8.101491595533673,0.9429231711615954,0.03546487811341837,0.9461506400577826,0.019886285885895694,7.9903146594775984,628,59.68078410322752,42.54310708729923,48.06915599672274,25.455949555500123,9.294620748891628,54.74185914207473,37.876220758659855,44.64430186540012,22.76694557397684,9.285066608764238,0.9306829858408145,0.03644837790620451,0.9312019300599725,0.015314769787722282,9.294620748891628,1585,5,3.1274447949526816,0.34095445121619655,3.0,0.0,0.5611534242714764,10.94830322265625,6.30556058883667,9.486832618713379,3.551571846008301,7.180947782036181,11.95842170715332,6.077615261077881,10.29563045501709,3.5874266624450684,7.21810890619473,2130.898681640625,1290.9053955078125,1816.07080078125,694.1064453125,19.538926241630413,4.154107570648193,0.5230347514152527,4.1912689208984375,0.3722209930419922,11.07181593672753,5.791014434013626,5.803408212220079,0.5404779581734336
NegsiRNA_L2_NS,0.7099052005343967,0.18898391723632812,17105.32183908046,12915.650860977044,15983.0,9470.5,6.21706436418892,549.2205306058643,314.0252881262958,596.0142805576324,184.72792184352875,6.21706436418892,19379.2816091954,14790.184503955767,17220.5,11064.5,6.21706436418892,468.2510869352297,257.36450487367955,501.8974254131317,154.26083493232727,6.21706436418892,0.6048186549410921,0.14286918939051643,0.5966496255042406,0.09510820549737486,6.21706436418892,0.9034288831215934,0.0692108794707997,0.9170193664229832,0.04245888822326449,6.16708142688321,0.8842069220390188,0.07303417637200939,0.8892651756115126,0.04196304447015009,6.16708142688321,165.82747189751987,91.50659889996345,186.67523193359372,48.955734252929716,6.144092921136082,117.18657559224928,67.43211848040751,122.46856689453124,41.527893066406264,6.21706436418892,0.7311253459780407,0.1672563383844593,0.7313962895237681,0.11070897363412657,6.16708142688321,1.2208046005835211,0.23262393938729348,1.1560565942187024,0.012641619049281072,6.21706436418892,2.9111207025049,0.9911200973928306,3.1941702432270835,0.2764006822201348,6.21706436418892,4,9.224873734152917,15.898661836485356,1.4142135623730951,0.20710678118654757,1.5,8.743312532385266,14.935616758207422,1.4142135623730951,0.20710678118654757,1.5,0.9854385953151814,0.02912280936963718,1.0,0.0,0.8112781244591328,367,18.774518000475194,21.53844313957581,13.25799021962582,5.585786437626902,8.371776137021712,17.32256072678144,18.718475762841297,12.405196043952328,5.19409349302435,8.331572083882302,0.9387275102764274,0.04660191695148599,0.9407147564986398,0.016152917688246338,8.26206316016479,582,52.991063111815144,46.09715887480471,38.60163191489174,22.28541923507977,9.178002490674604,48.45741832851258,41.62690158191201,35.252651743877706,19.525599252815535,9.174566064557766,0.927437250297111,0.04116397854094708,0.9305796056708876,0.018666876015232425,9.161491080924716,1639,5,3.153752287980476,0.3723631502954311,3.0,0.0,0.6365203299095409,7.22758674621582,5.183694362640381,5.656854152679443,2.6568541526794434,6.223224609596716,7.6815314292907715,5.221076488494873,6.0,2.485280990600586,6.2728936425346244,1124.563232421875,724.0117797851562,937.8878173828125,338.279541015625,18.746875864920053,3.548006296157837,0.5765894055366516,3.554797649383545,0.40730929374694824,12.976331561275838,4.889136044911066,4.899215058486165,0.4694680941409901
ACTB_B2_CA,0.6037392086452908,0.28029632568359375,10163.82962962963,8916.678663949398,9020.5,6888.0,6.720476957526134,430.5993206271419,270.582986732824,461.64674949646,203.48022890090937,6.720476957526134,11580.577777777778,10164.983181753101,10424.0,7801.5,6.681978790318931,360.69906089747394,210.56223232536098,393.3065693378449,159.4542310237885,6.720476957526134,0.5749367129514931,0.1652994932818104,0.5852811955063105,0.12308777159174644,6.720476957526134,0.891790831931874,0.08709727292822698,0.9174504844988776,0.04054485724074164,6.705662142711318,0.8819399968470765,0.0896460574393258,0.9006742805982281,0.046965560537902795,6.720476957526134,131.58269286862125,77.63824755879982,142.67520141601562,53.356231689453125,6.7056621427113186,87.33628706932068,54.72459206616341,92.40564727783205,37.82169342041014,6.655625938991592,0.6887952150919552,0.20003878867365027,0.6875992374917251,0.13684143288424844,6.705662142711318,1.229316731482836,0.2530809483070732,1.1495454269108178,0.014021875719899768,6.720476957526134,2.7720723824868525,1.0350782649378958,3.111111713314912,0.3396767897817039,6.720476957526134,8,11.673097038856278,16.213742112124464,6.5,2.5,3.0,10.770630018402487,13.984421087427956,6.5,2.5,3.0,0.9705182120573832,0.047606545247787214,1.0,0.0,1.5487949406953985,361,21.318890585573893,18.294524947899,17.164213562373096,8.035954792089752,8.358708835739453,19.79569356461702,16.43896079162456,16.25,7.34157688667716,8.34417943823852,0.9370830987896713,0.048778005467091,0.9382162845144488,0.015710165010852983,8.263007779211355,702,52.87874112557678,41.12016574884321,42.196538526577434,22.932247222341125,9.452478217455559,48.25736985583471,36.644488429528174,38.818725365506815,20.394519319355425,9.452478217455559,0.9279278342933703,0.043214864392472824,0.9292270505439566,0.018262668602456122,9.435940268061774,1802,5,3.1298557158712543,0.34430015755727716,3.0,0.0,0.5686459529255169,9.385629653930664,6.708585262298584,7.8102498054504395,3.851653575897217,6.89519440302536,9.997990608215332,6.821478366851807,8.246211051940918,4.123105525970459,7.0087873622860455,2097.092529296875,1445.999267578125,1676.53759765625,711.0213623046875,19.310360147941132,4.122257709503174,0.566554605960846,4.147887229919434,0.42389583587646484,11.226329776043617,5.973816279727926,5.985426001620622,0.5315827677512374
JUP_D1_NO,0.6126910315619575,0.2918277316623264,7590.460317460317,4266.306435408799,7285.5,2991.5,7.519914381893031,377.99108436750987,140.26210691009,377.7056245803833,82.22539567947388,7.509332371311021,8585.497354497355,5080.361798793655,8005.5,3465.0,7.509332371311022,339.43072779594905,117.18420364880215,344.787294626236,71.52848815917969,7.519914381893031,0.6385821789344586,0.11373844263935516,0.6496721982877995,0.06738793873009596,7.519914381893032,0.9043225089443476,0.06970407196201207,0.9230371900826446,0.03235218005111695,7.519914381893031,0.9093912360628875,0.04407066604829299,0.916853340848193,0.018313020422617177,7.519914381893031,120.39975315174729,42.185670545381406,123.50811767578124,23.019844055175753,7.509332371311021,84.10549884876878,31.55605776980164,81.48455810546875,20.939414978027344,7.519914381893031,0.7150567374176623,0.15037833251084515,0.7012986958393012,0.1159153604412324,7.519914381893031,1.1656414318578567,0.12378934258239108,1.1469792104483598,0.009495953332960605,7.519914381893031,2.990615934394006,0.5351209918656189,3.0582702040902614,0.19882337982399845,7.519914381893031,1,21.48528137423857,,21.48528137423857,0.0,-0.0,19.313207915827967,,19.313207915827967,0.0,-0.0,0.8989041185648619,,0.8989041185648619,0.0,-0.0,238,19.69928606890749,22.08518454507485,12.29958405390462,5.7312276407542395,7.743557259106261,18.096065919783452,19.37488413394475,11.491673553200727,5.390438370448534,7.773998908256835,0.9394762844919151,0.043798592522259025,0.9418609538723117,0.01727676396889921,7.618454580489381,778,59.09598570564566,39.449708283975156,50.074665477830756,24.459829994460108,9.601055650898788,54.15987550931557,34.94758473560157,46.159155947345084,22.098257703970834,9.598484956811383,0.9287701362171756,0.03626682597856672,0.9306865110568505,0.01630902535815787,9.593343568636577,1888,5,3.139300847457627,0.3493061199335199,3.0,0.0,0.5885821573861949,8.035211563110352,4.471860885620117,7.071067810058594,2.1484766006469727,6.358382378175869,8.483803749084473,4.284300327301025,7.211102485656738,2.2111024856567383,6.337453557417911,884.3297119140625,557.839599609375,731.80810546875,266.48614501953125,19.362811201076685,3.290104389190674,0.5926842093467712,3.279088020324707,0.4261491298675537,13.624922215682643,4.4640591594780945,4.480447632271687,0.44911035581182607
NegsiRNA_L1_CA,0.651108635796441,0.28091345893012154,8360.275,3540.840915522231,8330.5,2056.75,7.480741985218563,392.7704514722029,100.30432498848727,400.2533510327339,53.84924215078351,7.480741985218563,9133.583333333334,3842.8694460791844,9031.5,2281.75,7.480741985218563,356.1466158476141,88.72684726257691,367.7233057022095,45.7626268863678,7.491853096329673,0.6484639484951468,0.10065963355726465,0.6557011880073711,0.06201136994979489,7.491853096329673,0.915527876454549,0.05381297804057203,0.928004722342079,0.02361381457599354,7.480741985218562,0.9101509994180732,0.03159223136286731,0.9122250623314672,0.016944031792182124,7.480741985218562,124.32955148352517,32.995507473131894,127.87298965454102,16.694805145263672,7.480741985218563,90.28978443013297,26.112732802922597,92.50894927978516,14.596466064453132,7.491853096329673,0.7388088334491402,0.16484859788458733,0.742099653071749,0.12231699504206733,7.480741985218562,1.1542202131085222,0.06496122848775465,1.1495063174636087,0.009175197492721221,7.491853096329673,3.0729980327749122,0.38959415388462154,3.116113811559293,0.19500301577929569,7.491853096329673,2,15.207106781186548,15.849242404917499,15.207106781186548,11.207106781186548,1.0,15.009611831257688,15.56994236822791,15.009611831257688,11.009611831257688,1.0,0.9925231561612651,0.010573853960484724,0.9925231561612651,0.007476843838734981,1.0,281,16.269418322924796,13.967268561453027,12.528100295943757,4.399841525660291,7.931509772147425,15.26910488195289,12.881764642814966,11.704699910719626,4.030790288572014,7.8647664002536075,0.9459365733642178,0.03029659088633826,0.9479705999314912,0.01857829031429914,7.801512174236462,797,56.647235632405746,34.425613674163,51.39257987000484,22.98275201829763,9.63843591399047,52.49458947266704,31.461633334680936,47.63285514105646,21.49951649309788,9.635926503701889,0.9336038535703067,0.033201402075108015,0.9323720716438499,0.014303113870060336,9.618975719505743,1913,5,3.125457396759017,0.34057408620653834,3.0,0.0,0.5570395290658396,7.99428653717041,4.782495498657227,7.071067810058594,2.0710678100585938,6.27697563432663,8.41552734375,4.374887466430664,7.211102485656738,1.844283103942871,6.1771240035379344,936.9290771484375,523.094970703125,800.261474609375,276.0241394042969,19.307039815335603,3.395796775817871,0.5439602136611938,3.392059564590454,0.39408254623413086,13.322604583244189,4.549307191820307,4.501713210197363,0.38574840654983783
FYN_E3_NS,0.6831853654649522,0.25247277153862846,12791.296296296296,5536.676501935882,12494.25,3612.75,6.73636898364495,490.93799728375893,127.279544597417,505.3036036491394,70.1923879981041,6.754887502163468,14009.50925925926,6018.675335900656,13852.5,3715.75,6.754887502163468,442.68949693220634,109.6546449724014,456.3818955421448,59.77442628145218,6.754887502163468,0.643101240127338,0.10283056735395134,0.659334012604404,0.06602535364634504,6.754887502163468,0.9152998123652719,0.050609466823298394,0.9269077956105911,0.02737302178948897,6.73636898364495,0.9068196967553919,0.032693861597611354,0.9131956022107196,0.011580774795301396,6.73636898364495,156.87621847567735,42.100590567682744,157.7023696899414,24.604850769042955,6.754887502163468,109.67353068236952,32.52207485959381,110.18282318115234,21.73912811279297,6.754887502163468,0.7207776550396664,0.17332212858482668,0.7142509514929962,0.13410905598513606,6.73636898364495,1.1581650911941415,0.08340664371491117,1.1496705594207088,0.011886479389246585,6.754887502163468,3.1334857972994747,0.442031161270604,3.1478305023691453,0.19767756528751956,6.754887502163468,4,1.0,0.0,1.0,0.0,-0.0,1.0,0.0,1.0,0.0,-0.0,1.0,0.0,1.0,0.0,-0.0,224,20.92916432056108,25.388033808204103,14.187237178171287,5.5782637103449755,7.66668628364543,19.249337087263548,22.750889416288647,13.609438752006927,5.289545901220666,7.607556317137231,0.9403347024088488,0.03975775533374665,0.9456832671877722,0.017475737957239112,7.5488006945536155,537,66.86969363375388,43.92238764381037,62.93040890619282,32.21760703563568,9.061329488413717,61.597245659750094,39.96295475179436,57.21232384722718,29.32925254495811,9.065053883199564,0.9296900504161895,0.034615140732475694,0.9291780570153815,0.015900011975529482,9.043434440975288,1343,5,3.1332836932241253,0.3442347409794032,3.0,0.0,0.574106983379463,8.543061256408691,5.0196428298950195,7.211102485656738,2.7888975143432617,6.5701269050130895,9.138534545898438,4.939976215362549,7.8102498054504395,2.8102498054504395,6.591365030224535,1299.7261962890625,880.1951293945312,1049.905029296875,407.96820068359375,19.16017597972483,3.66304612159729,0.5957862734794617,3.660656690597534,0.42560696601867676,12.724445505206493,5.0017311818725725,5.014990813286711,0.5338848070043181
ACTN4_L1_NO,0.5726282331678603,0.31916385226779515,7952.248554913294,4881.106431240138,7519.0,3350.0,7.219487875331097,408.26819772113953,187.1442974227246,422.41630148887634,115.39696860313416,7.2310485689727155,9337.078034682081,5889.691300443064,8946.0,3946.0,7.2310485689727155,348.66206097327216,148.87805176216258,366.0194020271301,82.51847589015955,7.2310485689727155,0.5734650622185375,0.15184904372731234,0.5584131551180217,0.11602973291850704,7.2310485689727155,0.877702561121232,0.08775230698391673,0.8933036954709641,0.05244283230681368,7.156560503152134,0.878319327846414,0.06995444775621133,0.8901106701216818,0.037647206978329795,7.156560503152134,125.37607820323437,55.87364869617306,130.26565551757812,29.856491088867188,7.207927181689479,84.81235553763506,37.8423657480405,87.7763671875,25.079185485839837,7.187639464901462,0.7179261476460741,0.17916072350289353,0.71967853991124,0.14484126143791343,7.185960308511559,1.1982228370762418,0.19990151390257654,1.1509901877991413,0.011566159406039889,7.2310485689727155,2.9124748089389327,0.8214798535838513,3.0893817759361464,0.212410054324923,7.2310485689727155,0,,,,,-0.0,,,,,-0.0,,,,,-0.0,482,16.82286321787229,13.968526620317652,12.95974388279337,5.2498267054756464,8.6825583196145,15.626653343942422,12.541555789186571,12.161069112691571,4.8083485277652,8.614053029140113,0.938204506563518,0.046840233859128444,0.9418609538723117,0.016371591575335576,8.53065144021678,958,47.62477931044518,35.67646317185517,39.3678160011433,20.1650229410043,9.878041670890497,43.51914079895134,31.82275210411176,36.04443583077364,18.02968962841632,9.883005019013842,0.9280830197855422,0.04184863828881231,0.9302451969079569,0.018090114323793482,9.793122455746598,2472,5,3.134304207119741,0.34686005032728184,3.0,0.0,0.5787570326789454,8.715787887573242,5.563401222229004,7.071067810058594,2.828427314758301,6.65778601900947,9.361920356750488,5.309031009674072,7.8102498054504395,2.8102498054504395,6.679238986092759,929.3561401367188,596.4205322265625,774.9959716796875,291.30792236328125,19.490167485352355,3.335646867752075,0.6049826741218567,3.3407113552093506,0.43640971183776855,13.55823305642978,4.54645672379214,4.556992799802964,0.4624318754288489
