,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_distance_ratio_mean,e2e_distance_ratio_std,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_distance_ratio_mean,j2j_distance_ratio_std,nodes_n,nodes_max,nodes_mean,nodes_std,branch_thickness_medial_axis_mean,branch_thickness_medial_axis_std,branch_thickness_voronoi_mean,branch_thickness_voronoi_std,texture_std_filter_mean,texture_std_filter_std,texture_entropy_filter_mean,texture_entropy_filter_std
NegsiRNA_C3c_CA,0.7520114050971137,0.15374628702799478,2,2.8284271247461903,0.0,2.8284271247461903,0.0,1.0,0.0,213,21.102104529349862,31.921536036150435,19.537323793506868,28.795945124165165,0.9428807621809353,0.041932649191608565,442,69.75847190701415,55.83804916793763,64.15184161642993,51.039731467680205,0.9288176730689471,0.035265853179862514,1156,6,3.1323529411764706,0.3682348242808504,6.126745223999023,4.88968563079834,6.160088062286377,4.341952323913574,886.7445068359375,567.8571166992188,3.2940590381622314,0.6079750657081604
NegsiRNA_C3b_CA,0.6318482293023003,0.3046158684624566,10,2.0656854249492382,1.2091256885438175,2.0478708664619076,1.204724456415268,0.992620968266859,0.023334547203385472,304,17.585386943148098,14.032747517703635,16.404941487793543,12.484656861354303,0.9450056445785274,0.03601101406843832,762,55.31038771695991,35.62855028594763,51.255140760199865,32.52479050738437,0.9350733937740522,0.03222813746034208,1830,5,3.121311475409836,0.3331164751902529,9.222267150878906,5.114864826202393,9.852568626403809,4.716636657714844,1473.78466796875,907.698974609375,3.826591968536377,0.547050416469574
NegsiRNA_E3_NO,0.61153687371148,0.2978278266059028,0,,,,,,,446,17.60018938330043,13.65479366988642,16.406150438861353,12.191603665207142,0.9397819312463873,0.03874851866228374,838,48.1097120598414,35.49412212312052,44.475891103639555,32.45868735275982,0.9332853110334556,0.033524464363338696,2187,5,3.139917695473251,0.3585682454451352,9.09869384765625,5.132397651672363,9.99979305267334,4.844047546386719,1258.1009521484375,806.0366821289062,3.656484365463257,0.5640804171562195
AKT1_B2_NO,0.5283071729871962,0.33030403984917533,1,24.38477631085024,,23.021728866442675,,0.9441025241719744,,297,20.45577338575355,16.75742217104109,19.05144580512897,14.908437298095,0.9429231711615956,0.035464878113418356,628,59.68078410322752,42.54310708729923,54.74185914207473,37.876220758659855,0.9306829858408145,0.03644837790620452,1585,5,3.1274447949526816,0.34095445121619655,10.94830322265625,6.30556058883667,11.95842170715332,6.077615261077881,2130.898681640625,1290.9053955078125,4.154107570648193,0.5230347514152527
NegsiRNA_L2_NS,0.7099052005343967,0.18898391723632812,4,9.224873734152917,15.898661836485356,8.743312532385264,14.93561675820742,0.9854385953151814,0.029122809369637234,367,18.774518000475194,21.53844313957581,17.32256072678144,18.7184757628413,0.9387275102764274,0.046601916951485994,582,52.991063111815144,46.09715887480471,48.45741832851258,41.62690158191201,0.927437250297111,0.04116397854094708,1639,5,3.153752287980476,0.3723631502954311,7.22758674621582,5.183694362640381,7.6815314292907715,5.221076488494873,1124.563232421875,724.0117797851562,3.548006296157837,0.5765894055366516
ACTB_B2_CA,0.6037392086452908,0.28029632568359375,8,11.673097038856278,16.213742112124464,10.770630018402489,13.98442108742796,0.9705182120573832,0.047606545247787166,361,21.318890585573893,18.294524947899003,19.79569356461702,16.43896079162456,0.9370830987896713,0.048778005467091,702,52.87874112557678,41.12016574884321,48.25736985583471,36.644488429528174,0.9279278342933707,0.04321486439247282,1802,5,3.1298557158712543,0.34430015755727716,9.385629653930664,6.708585262298584,9.997990608215332,6.821478366851807,2097.092529296875,1445.999267578125,4.122257709503174,0.566554605960846
JUP_D1_NO,0.6126910315619575,0.2918277316623264,1,21.48528137423857,,19.313207915827967,,0.8989041185648619,,238,19.69928606890749,22.08518454507485,18.096065919783452,19.37488413394475,0.9394762844919152,0.043798592522259025,778,59.09598570564566,39.449708283975156,54.15987550931557,34.94758473560157,0.9287701362171756,0.03626682597856673,1888,5,3.139300847457627,0.3493061199335199,8.035211563110352,4.471860885620117,8.483803749084473,4.284300327301025,884.3297119140625,557.839599609375,3.290104389190674,0.5926842093467712
NegsiRNA_L1_CA,0.651108635796441,0.28091345893012154,2,15.207106781186548,15.849242404917499,15.009611831257686,15.569942368227908,0.9925231561612649,0.010573853960484882,281,16.269418322924796,13.967268561453027,15.26910488195289,12.88176464281497,0.9459365733642178,0.030296590886338258,797,56.647235632405746,34.425613674163,52.49458947266704,31.461633334680936,0.933603853570307,0.033201402075108015,1913,5,3.125457396759017,0.34057408620653834,7.99428653717041,4.782495498657227,8.41552734375,4.374887466430664,936.9290771484375,523.094970703125,3.395796775817871,0.5439602136611938
FYN_E3_NS,0.6831853654649522,0.25247277153862846,4,1.0,0.0,1.0,0.0,1.0,0.0,224,20.92916432056108,25.388033808204103,19.249337087263548,22.750889416288647,0.9403347024088488,0.03975775533374664,537,66.86969363375388,43.92238764381037,61.597245659750094,39.96295475179436,0.9296900504161894,0.03461514073247569,1343,5,3.1332836932241253,0.3442347409794032,8.543061256408691,5.0196428298950195,9.138534545898438,4.939976215362549,1299.7261962890625,880.1951293945312,3.66304612159729,0.5957862734794617
ACTN4_L1_NO,0.5726282331678603,0.31916385226779515,0,,,,,,,482,16.82286321787229,13.96852662031765,15.626653343942422,12.541555789186571,0.938204506563518,0.046840233859128444,958,47.62477931044518,35.67646317185517,43.51914079895134,31.82275210411176,0.9280830197855422,0.041848638288812315,2472,5,3.134304207119741,0.34686005032728184,8.715787887573242,5.563401222229004,9.361920356750488,5.309031009674072,929.3561401367188,596.4205322265625,3.335646867752075,0.6049826741218567
